"ISBN","Title","Author","Pages","Release"
"9780977616619","Everyday Scripting with Ruby: For Teams, Testers, and You","Brian Marick","310","jan 2007"
"9780977616640","Agile Retrospectives: Making Good Teams Great","Esther Derby, Diana Larsen, Ken Schwaber","192","jul 2006"
"9780978739201","Deploying Rails Applications: A Step-by-Step Guide","Ezra Zygmuntowicz, Bruce Tate, Clinton Begin","280","maj 2008"
"9780978739218","Release It!: Design and Deploy Production-Ready Software","Michael Nygard","326","mar 2007"
"9780978739225","Advanced Rails Recipes: 84 New Ways to Build Stunning Rails Apps","Mike Clark","420","maj 2008"
"9780978739232","TextMate: Power Editing for the Mac","James Gray","200","feb 2007"
"9780979777707","Brain Rules: 12 Principles for Surviving and Thriving at Work, Home, and School","John Medina","301","maj 2008"
"9781400082469","Dreaming in Code: Two Dozen Programmers, Three Years, 4,732 Bugs, and One Quest for Transcendent Software","Scott Rosenberg","416","jan 2007"
"9781412016070","How to Survive in the Jungle of Enterprise Architecture Frameworks: Creating or Choosing an Enterprise Architecture Framework","Jaap Schekkerman","224","dec 2003"
"9783000236457","An Introduction to Seaside - Developing Web Applications with Squeak and Smalltalk","Michael Perscheid, Stefan Berger, Michael Haupt, David Tibbe, Martin Beck, Peter Osburg, Jeff Eastman, Robert Hirschfeld","",""
"9781590597255","The Definitive Guide to Django: Web Development Done Right","Adrian Holovaty, Jacob Kaplan-Moss","447","dec 2007"
"9781590597927","Beginning JBoss® Seam: From Novice to Professional","Joseph Faisal Nusairat","376","feb 2007"
"9781590598634","Practical JBoss® Seam Projects","Jim Farley","229","jul 2007"
"9781590598764","Flex Solutions: Essential Techniques for Flex 2 and 3 Developers","Marco Casario","904","nov 2007"
"9781590598818","Practical JRuby on Rails Web 2.0 Projects: Bringing Ruby on Rails to Java","Ola Bini","330","sep 2007"
"9781590599112","Practical Ruby Projects: Ideas for the Eclectic Programmer","Topher Cyll","328","dec 2007"
"9781590599273","The Definitive Guide to JasperReports","Teodor Danciu, Lucian Chirita","223","aug 2007"
"9781590599280","The Definitive Guide to iReport","Giulio Toffoli","352","aug 2007"
"9781596911048","JPod: A Novel","Douglas Coupland","448","maj 2006"
"9781847192363","Business Process Management with JBoss jBPM","Matt Cumberlidge","220","jul 2007"
"9781904811909","JasperReports: Reporting for Java Developers","David Heffelfinger","344","jul 2006"
"9781932394153","Hibernate in Action","Christian Bauer, Gavin King","408","aug 2004"
"9781932394238","JUnit Recipes: Practical Methods for Programmer Testing","J. B. Rainsberger","752","jul 2004"
"9781932394795","iText in Action: Creating and Manipulating PDF","Bruno Lowagie","656","dec 2006"
"9781933988351","jQuery in Action","Bear Bibeault, Yehuda Katz","376","feb 2008"
"9781933988504","Flexible Rails: Flex 3 on Rails 2","Peter Armstrong","592","jan 2008"
"9781934356005","Programming Erlang: Software for a Concurrent World","Joe Armstrong","536","jul 2007"
"9781934356012","Prototype and script.aculo.us: You Never Knew JavaScript Could Do This!","Christophe Porteneuve","436","dec 2007"
"9781934356029","Design Accessible Web Sites: 36 Keys to Creating Content for All Audiences and Platforms","Jeremy Sydik","328","nov 2007"
"9781934356098","Programming Groovy: Dynamic Productivity for the Java Developer","Venkat Subramaniam","318","apr 2008"
